,name,lat,lng,rating
21,Hanppy to go vancouver,49.2360333,-123.1557741,5.0
18,Pachamami Foodtruck,49.2332003,-123.155448,5.0
40,Sushi Time,49.2377955,-123.1556282,4.9
54,BIGSBY THE BAKEHOUSE,49.24256150000001,-123.1701078,4.6
57,Land & Sea Restaurant & Bar,49.2193461,-123.1493145,4.6
33,Kokoro Tokyo Mazesoba - Kerrisdale,49.2347764,-123.1592823,4.5
47,Hikari Cafe,49.2341819,-123.1401924,4.5
50,Tao's Kitchen,49.2339329,-123.1399534,4.5
8,Sushi Bar Ajisai,49.2338978,-123.1540943,4.5
14,Baan Wasana Thai Restaurant,49.234785,-123.15673,4.4
